title,authors,description,categories
Towards a Poetics of Literary Biography,['Michael Benton'],"Drawing upon a wide range of biographies of literary subjects, from Shakespeare and Wordsworth to William Golding and V.S. Naipaul, this book develops a poetics of literary biography based on the triangular relationships of lives, works and times and how narrative operates in holding them together. Biography is seen as a hybrid genre in which historical and fictional elements are imaginatively combined. It considers the roles of story-telling, factual data in the art of life-writing, and the literariness of its language. It includes a case study of the biography of Ellen Terry, discussion of the controversial relationship between a subject's life and works, 'biographical criticism' and, through the issue of gender, the social and cultural changes biographies reflect. It frames a poetics on the basis of its strategy and tactics and demonstrates how the literal truth of verifiable data and the poetic truth of what is narrated are interdependent.",['Fiction']
Biography-Driven Culturally Responsive Teaching,['Socorro G. Herrera'],Teaching strategies and tools have been updated to reflect new brain research and to keep pace with our nation’s ever-changing demographics and constant shift in expectations for K–12 students. The structure and format of this bestseller has also been revised to help educators find information quickly.,['Education']
Biography Matters – Feministisch-phänomenologische Perspektiven auf Altern in Bewegung,['Lea Spahn'],"Biographien können nicht nur als gesellschaftlich kontextualisierte, narrative Sinnkonstruktionen erscheinen, sondern als ein »Un/doing« in ihrer prozesshaften Zeitlichlichkeit und Materialität. Lea Spahn stellt diese leibkörperliche Dimension von sozialer Praxis ins Zentrum ihrer Untersuchung. Durch die Verschränkung von biographietheoretischen, praxeologischen und phänomenologischen Zugängen fokussiert sie auf die leibkörperliche und somatische Dimension von Existenzen. Sie differenziert Praktiken des Improvisierens heraus und entwickelt Alter(n) als eine Schlüsselthematik, in der Subjekte praxisspezifische (Um-)Bildungsprozesse durchleben und als eigensinnige, somatische Akteure auftreten.",['Social Science']
The Complete Poetry (Including a Biography of the Author),['O. Henry'],"This carefully crafted ebook: ""The Complete Poetry (Including a Biography of the Author)"" is formatted for your eReader with a functional and detailed table of contents. William Sydney Porter (1862-1910), known by his pen name O. Henry, was an American writer. O. Henry's works are known for their wit, wordplay, warm characterization, and surprise endings.",['Poetry']
"... History of Oswego County, New York",['Crisfield Johnson'],"Presents a history of the various towns of Oswego County from 1877, maps of the county, engravings of various county scenes, and information about prominent individuals of that time and earlier.",['Oswego County (N.Y.)']
Contemporary Black Biography,['L. Mpho Mabunda'],"This biographical reference covers prominent black individuals from around the world. Profiles include: civil rights activists; political, legal and government figures; individuals in the worlds of science, technology and medicine; and authors, entertainers and other notable professionals.",['Biography & Autobiography']
"Thomas Hardy, a Biography",['Michael Millgate'],A comprehensive account of the author's life based upon many previously unknown materials.,['Biography & Autobiography']
The African American National Biography: Roman-Tzomes,"['Henry Louis Gates (Jr.)', 'Evelyn Brooks Higginbotham']","An 8-volume reference set containing over 4,000 entries written by distinguished scholars, 'The African American National Biography' is the most significant and expansive compilation of black lives in print today.",['African Americans']
A Dictionary of Irish Biography,['Henry Boylan'],"1300 entries, including entries on those of note who have died since the first edition was published in 1978. Short biographical descriptions of men and women in literature, music, law, painting, religion, politics, science, scholarship. Acidic paper. Annotation copyrighted by Book News, Inc., Portland, OR",['Biography & Autobiography']
Transactions - The Society of Naval Architects and Marine Engineers,['Society of Naval Architects and Marine Engineers (U.S.)'],"List of members in vols. 1-24, 38-54, 57.",['Marine engineering']
DK Biography: John F. Kennedy,['Howard S. Kaplan'],"Tells the story of an incredible leader and legend, John F. Kennedy. In this groundbreaking new series, DK brings together fresh voices and DK design values to give readers the most information-packed, visually exciting biographies on the market today. Full-color photographs of people, places, and artifacts, definitions of key words, and sidebars on related subjects add dimension and relevance to stories of famous lives that students will love to read. Supports the Common Core State Standards.",['Juvenile Nonfiction']
"Presidential Elections, 1789-2000","['Congressional Quarterly, inc']","This reference surveys all presidential elections and terms and contains a biographical directory of presidential and vice- presidential candidates. The book opens with an overview of the presidential election system, then provides a detailed chronology of each election context from Washington to Bush, incorporating a discussion of primary contests. General election results for all major candidates since 1824 are given in tables showing vote totals and percentages. A final section examines the electoral college. Historical b & w photos and drawings are included.",['Political Science']
The Auto-Biography of Goethe,['Johann Wolfgang von Goethe'],Goethe (1749-1832) ranked among the greatest literary figures of his day. This two-volume translation of his autobiography first appeared in 1848-9.,['Drama']
Three Lives,['Oliver Matuschek'],"Drawing on a great wealth of newly available sources, this definitive biography recounts the eventful life of a great writer spoilt by success-a life lived in the shadow of two world wars, and which ended tragically in a suicide pact. Matuschek examines three major phases in the life of the world-famous Austrian author-his years of apprenticeship, his years of success as a professional working writer in Salzburg, and finally his years of exile in Britain, the USA and Brazil. Including the sort of personal detail conspicuously absent from Zweig's memoir, and incorporating newly discovered documents, Matuschek's biography offers us a privileged view into the private world of the master of psychological insight.",['Biography & Autobiography']
Garbo,['John Bainbridge'],"There is only one Garbo, and this is her only definitive biography. Acclaimed by the critics-and a best seller- in its original version, it has now been brought up to the present, and beautifully illustrated with one hundred thirty-two memorable photographs. The result: an even more fascinating study of one of the screen's true immortals. In a period spanning less than two decades, from 1925 to 1941, this shy, working-class girl from Stockholm, the possessor of the face of the century, made twenty-four films, and became the most famous actress in the world. She also became one of its great ornaments and excitements and objects of wonder-""the unapproachable goddess,"" said Alistair Cooke, ""of the most widespread and remarkable mythology in human history."" As a consequence, she found herself the victim of more fatuous and hysterical journalism than any other personality on earth. Mercilessly hounded by the public and press at every turn, she developed an intense aversion to publicity that contributed to making the world's most beautiful woman into one of its loneliest. ""I never said, 'I want to be alone, '"" Garbo told a friend. ""I only said, 'I want to be let alone.' There is all the difference."" With sensitivity, wit, and understanding, Mr Bainbridge presents the whole fabulous story from its unlikely beginning through her last picture and into her retirement, which, ironically, Garbo never planned to make permanent. Her life today-her friends, her interests, her haunts-brings this absorbing biography up to the present moment. An appendix, ""The Films of Greta Garbo,"" lists all of her pictures, both European and American, their casts, production credits, and the place and date of the premiere of each--Page 2 and 3 of cover",['Biography & Autobiography']
Hermann Lotze,['William R. Woodward'],"As a philosopher, psychologist, and physician, the German thinker Hermann Lotze (1817–81) defies classification. Working in the mid-nineteenth-century era of programmatic realism, he critically reviewed and rearranged theories and concepts in books on pathology, physiology, medical psychology, anthropology, history, aesthetics, metaphysics, logic, and religion. Leading anatomists and physiologists reworked his hypotheses about the central and autonomic nervous systems. Dozens of fin-de-siècle philosophical contemporaries emulated him, yet often without acknowledgment, precisely because he had made conjecture and refutation into a method. In spite of Lotze's status as a pivotal figure in nineteenth-century intellectual thought, no complete treatment of his work exists, and certainly no effort to take account of the feminist secondary literature. Hermann Lotze: An Intellectual Biography is the first full-length historical study of Lotze's intellectual origins, scientific community, institutional context, and worldwide reception.",['Science']
Julie Andrews,['Richard Stirling'],"An “intelligent and engrossing” biography of the incomparable star of stage and screen, revealing the determination she brought to bear over every obstacle (Mail on Sunday). In My Fair Lady, Julie Andrews had the biggest hit on Broadway. As the title character in Mary Poppins, she won an Academy Award. And, in 1965, The Sound of Music made her the most famous woman in the world and rescued Twentieth Century Fox from bankruptcy. Three years later, the disastrous Star! almost put the studio back under, and the leading lady of both films fell as spectacularly as she had risen. Her movie career seemed to be over. Yet Julie Andrews survived, with what Moss Hart, director of My Fair Lady, called “that terrible British strength that makes you wonder why they lost India.” Victor/Victoria, directed by her second husband, Blake Edwards, reinvented her screen image—but its stage version in 1997 led to the devastating loss of her defining talent, her singing voice. Against all odds, she fought back again, with roles in The Princess Diaries, Bridgerton, and other productions. The real story of bandy-legged little Julia Wells from Walton-on-Thames is even more extraordinary; fresh details of her family background have only recently come to light. This is the first completely new biography of Julie Andrews as artist, wife, and mother in over thirty-five years—combining the author’s interviews with the star and his wide-ranging and riveting research. It is a frank but affectionate portrait of an enduring icon of stage and screen. “An absorbingly extensive study, with glossy photographs and lively quotes bringing the pages alive with the sound of a much-loved musical star.” —Evening Standard",['Biography & Autobiography']
HAMLET,['William Shakespeare'],"The Tragedy of Hamlet, Prince of Denmark, written by William Shakespeare between 1599 and 1601, is set in Denmark and recounts how Prince Hamlet exacts revenge on his uncle Claudius, who murdered the King, takes the throne and marries Hamlet's mother. Life of William Shakespeare is a biography of William Shakespeare by the eminent critic Sidney Lee. This book was one of the first major biographies of the Bard of Avon. It was published in 1898, based on the article contributed to the Dictionary of National Biography. William Shakespeare (1564 – 1616) was an English poet and playwright, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"". His extant works, including some collaborations, consist of about 38 plays, 154 sonnets, two long narrative poems, and a few other verses, the authorship of some of which is uncertain. Sir Sidney Lee (1859 – 1926) was an English biographer and critic. He was a lifelong scholar and enthusiast of Shakespeare. His article on Shakespeare in the fifty-first volume of the Dictionary of National Biography formed the basis of his Life of William Shakespeare. This full-length life is often credited as the first modern biography of the poet.",['Biography & Autobiography']
Derrida,['Benoît Peeters'],"This biography of Jacques Derrida (1930–2004) tells the story of a Jewish boy from Algiers, excluded from school at the age of twelve, who went on to become the most widely translated French philosopher in the world – a vulnerable, tormented man who, throughout his life, continued to see himself as unwelcome in the French university system. We are plunged into the different worlds in which Derrida lived and worked: pre-independence Algeria, the microcosm of the École Normale Supérieure, the cluster of structuralist thinkers, and the turbulent events of 1968 and after. We meet the remarkable series of leading writers and philosophers with whom Derrida struck up a friendship: Louis Althusser, Emmanuel Levinas, Jean Genet, and Hélène Cixous, among others. We also witness an equally long series of often brutal polemics fought over crucial issues with thinkers such as Michel Foucault, Jacques Lacan, John R. Searle, and Jürgen Habermas, as well as several controversies that went far beyond academia, the best known of which concerned Heidegger and Paul de Man. We follow a series of courageous political commitments in support of Nelson Mandela, illegal immigrants, and gay marriage. And we watch as a concept – deconstruction – takes wing and exerts an extraordinary influence way beyond the philosophical world, on literary studies, architecture, law, theology, feminism, queer theory, and postcolonial studies. In writing this compelling and authoritative biography, Benoît Peeters talked to over a hundred individuals who knew and worked with Derrida. He is also the first person to make use of the huge personal archive built up by Derrida throughout his life and of his extensive correspondence. Peeters’ book gives us a new and deeper understanding of the man who will perhaps be seen as the major philosopher of the second half of the twentieth century.",['Philosophy']
The Hour that Breaks,['Martin Travers'],"This is the first biography in English of the major German poet Gottfried Benn (1886-1956). The book focuses both on the key events of Benn's personal and public life, and on his development as a poet. There are detailed discussions of many of his poems, a number of which are translated here for the first time.","['Authors, German']"
"Dictionary of World Biography: The 20th century, O-Z","['Frank Northen Magill', 'Christina J. Moose', 'Alison Aves']","Each volume of the Dictionary of World Biography contains 250 entries on the lives of the individuals who shaped their times and left their mark on world history. This is not a who's who. Instead, each entry provides an in-depth essay on the life and career of the individual concerned. Essays commence with a quick reference section that provides basic facts on the individual's life and achievements. The extended biography places the life and works of the individual within an historical context, and the summary at the end of each essay provides a synopsis of the individual's place in history. All entries conclude with a fully annotated bibliography.",['Biography & Autobiography']
Jurgen Klopp,['Elmar Neveling'],"“It is the intensity of the football, of how the people live football in Liverpool, all the Liverpool fans around the world. It is not a normal club, it is a special club.” Jurgen Klopp As innovative as Arsene Wenger and as crowd-pleasing as Jose Mourinho, Jurgen Klopp is the charismatic German manager who single-handedly overthrew the accepted order in German football taking Borussia Dortmund from nowhere to back-to-back Bundesliga titles and the Champions League final. He had long been admired in the Premiership and was finally wooed by Liverpool in the belief he can bring back the glory days to the Kop. Klopp is revered as a master tactician with his own unique playing philosophies like counter pressing and spatial geometry. He is loved by his players for his passion and man-management skills, and adored by the media and fans alike for his disarming wit and charm and exciting football on the pitch. Success and rebuilding may take time and patience; in the meantime here is the definitive story of Jurgen Klopp - the normal one - and his footballing genius.",['Biography & Autobiography']
Eudora Welty,['Suzanne Marrs'],"In this definitive account of the life of one of the finest writers of the 20th century, Marrs restores Eudora Welty's story to human proportions, tracing Welty's history from her roots in Jackson, Mississippi, to her rise to international stature.",['Biography & Autobiography']
Siegfried Sassoon,['Max Egremont'],"With unprecedented access to Sassoon's complete papers and the support of the family, and after insightful conversations with Sassoon's lover Stephen Tennant, Max Egremont has produced a wonderfully insightful and engaging book that is as much a vivid portrait of an era as it is an elegant and fasc",['Literary Criticism']
Romeo and Juliet (The Unabridged Play) + The Classic Biography: The Life of William Shakespeare,"['William Shakespeare', 'Sidney Lee']","This carefully crafted ebook: “Romeo and Juliet (The Unabridged Play) + The Classic Biography: The Life of William Shakespeare” is formatted for your eReader with a functional and detailed table of contents. Romeo and Juliet is an enduring tragic love story written by William Shakespeare, believed to have been written between 1594 or 1595. It about two young star-crossed lovers whose deaths ultimately unite their feuding families. Shakespeare borrowed his plot from an original Italian tale. Verona is home to two feuding noble houses, the Montagues and the Capulets, whose children meet and fall in love. They have to hide their love from the world because they know that their parents will not allow them to be together. There are obstacles on the way, like Juliet's cousin, Tybalt, and Romeo's friend Mercutio, and many fights. Life of William Shakespeare is a biography of William Shakespeare by the eminent critic Sidney Lee. This book was one of the first major biographies of the Bard of Avon. It was published in 1898, based on the article contributed to the Dictionary of National Biography. William Shakespeare (1564 – 1616) was an English poet and playwright, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"". His extant works, including some collaborations, consist of about 38 plays, 154 sonnets, two long narrative poems, and a few other verses, the authorship of some of which is uncertain. Sir Sidney Lee (1859 – 1926) was an English biographer and critic. He was a lifelong scholar and enthusiast of Shakespeare. His article on Shakespeare in the fifty-first volume of the Dictionary of National Biography formed the basis of his Life of William Shakespeare. This full-length life is often credited as the first modern biography of the poet.",['Drama']
Hemingway,['Jeffrey Meyers'],"Distinguished by its precision, its graceful use of language, and its resonant depth, the innovative style of Nobel Prize-winning author Ernest Hemingway (1899-1961) radically altered literary conventions and influenced generations of writers. In The Sun Also Rises, A Farewell to Arms, For Whom the Bell Tolls, The Old Man and the Sea, and numerous short stories, he explored such universal themes as stoicism in adversity, as well as our futile struggles against nature and mortality.This evocative, sympathetic biography illuminates the events that informed Hemingway's vigorous life: an accident-prone youth and early rivalry with his father; his experiences in World War I, the Spanish Civil War, and World War II; his stormy relationships with writers and women; his sudden fame, slow decline, and suicide. Based on previously unavailable information and exclusive interviews, Hemingway enriches anyone's understanding and appreciation of America's most important twentieth-century writer.",['Literary Collections']
Clark Gable,['Warren G. Harris'],"Presenting an astonishing portrait of the wildest, most indulgent, and magical days of the old Hollywood dream factory, ""Clark Gable"" brings the irresistible leading man vividly to life. 16-page full-color insert.",['Biography & Autobiography']
Warren Buffett,['Ayano Morio'],"""Buffett has generously endowed us all with a sensible and intelligent roadmap for investing."" —Robert G Hagstrom ""Warren Buffett - The Oracle of Everything. He has been right about the stock market, rotten accounting, CEO greed, and corporate governance. The rest of us are just catching on."" —Fortune ""Warren Buffett has turned value investing into an art form, piling up the world's second largest individual fortune and persuading millions to mimic the low-tech, buy-and-hold style of stock picking he practices at Berkshire Hathaway."" —Time ""Buffett and Munger are, without doubt, two of the greatest investors and capital allocators of all time, so investors would be well served to study their thinking carefully."" —The Motley Fool ""Warren Buffett - Ace stockpicker, and now, an empire-builder."" —BusinessWeek",['Business & Economics']
The Hutchinson Encyclopedia of Biography,['Christine Stephanie Nicholls'],"Not only does this encyclopaedia present biographies for over 10,000 of the most important, topical and interesting people of all time, it also supplements these with a set of quotations - careful chosen to reveal what major figures think about themselves and what others thought about them.",['Biography']
"Contemporary Biography, References to Books and Magazine Articles on Prominent Men and Women of the Time;",['Carnegie Library Of Pittsburgh'],"Unlike some other reproductions of classic texts (1) We have not used OCR(Optical Character Recognition), as this leads to bad quality books with introduced typos. (2) In books where there are images such as portraits, maps, sketches etc We have endeavoured to keep the quality of these images, so they represent accurately the original artefact. Although occasionally there may be certain imperfections with these old texts, we feel they deserve to be made available for future generations to enjoy.",['History']
Aleister Crowley,['Tobias Churton'],"At last, the unexpurgated, true story of the amazing Aleister Crowley—philosopher, poet, artists, writer, magus, explorer, parapsychology—and spy. Packed with fresh research and previously unpublished ‘Crowleyana.’ For 100 years, Aleister Crowley’s true achievements have been suppressed and his true character defaced in a campaign of vilification unparalleled in British history. Until now, Crowley’s life has not been written—it has been written over. Tobias Churton is a world authority on Freemasonry, Rosicrucianism, and Gnosticism. In writing Aleister Crowley, he enjoyed complete access to all Crowley’s restricted papers, unpublished letters and personal diaries kept in a trust at London’s Warburg Institute and in the Ordo Templi Orientis archives. Ninety percent of the authentic material here has never before been published.",['Biography & Autobiography']
Dictionary of Scientific Biography,['American Council of Learned Societies'],Also available online as part of the Gale Virtual Reference Library under the title Complete dictionary of scientific biography.,['Biography']
Mahatma Gandhi,['Meeg Pincus'],"The My Itty-Bitty Bio series are biographies for the earliest readers. This book examines the life of social activist Mahatma Gandhi in a simple, age-appropriate way that will help young readers develop word recognition and reading skills. Includes a table of contents, author biography, timeline, glossary, index, and other informative backmatter.",['Juvenile Nonfiction']
John le Carre,['Adam Sisman'],"The definitive biography of the internationally adored author of The Spy Who Came in from the Cold, Tinker Tailor Soldier Spy, and A Perfect Spy—arguably one of the most important and influential writers of the post-World War II period—by the National Book Critics Circle Award-winning biographer Adam Sisman. In this definitive biography—blessed by John le Carré himself—Adam Sisman reveals the man behind the bestselling persona. In John le Carré, Sisman shines a spotlight on David Cornwell, an expert at hiding in plain sight—“born to lying,” he wrote in 2002, “bred to it, trained to it by an industry that lies for a living, practiced in it as a novelist.” Of course, the pseudonym “John le Carré” has helped to keep the public at a distance. Sisman probes Cornwell’s unusual upbringing, abandoned by his mother at the age of only five and raised by his con man father (when not in prison), and explores his background in British intelligence, as well as his struggle to become a writer, and his personal life. Sisman has benefited from unfettered access to le Carré’s private archive, talked to the most important people in his life, and interviewed the man himself at length. Who is John le Carré? Intriguing, thorough, and packed with entertaining detail, this biography will be a treat for the legions of le Carré fans.",['Biography & Autobiography']
D. H. Lawrence,['Jeffrey Meyers'],This masterly work offers an exciting recreation of the life and times of British novelist D.H. Lawrence. Copyright © Libri GmbH. All rights reserved.,['Biography & Autobiography']
Celebrity Biographies - The Amazing Life Of Colin Farrell - Famous Actors,['Matt Green'],"Ever wondered how Colin Farrell rose to stardom? Born in Dublin, Ireland this Irishman has progressed fleetingly through the grades in Hollywood and is one of the most well-liked and trendy actors of today. Colin is known for his off-screen adventures as much as his on-screen starring roles. Born in a respectful but under-privileged family of six, his mom Rita was a home-maker and his dad Eamon was a trained football player, who played for Shamrock Rovers. Colin was the youngest amongst the four off-springs. His brother Eamon Jr. was succeeded by his two sisters. It was his sis Catherine, who made him attach himself to the movies; she used to motivate him to view the videocassettes of Hollywood movies; this was in sharp difference to his own desire to pursue his dad’s path and play football. For more interesting facts you must read his biography. Grab Your biography book now!",['Biography & Autobiography']
Mary Lincoln: Biography of a Marriage,['Ruth Painter Randall'],"More fascinating than fiction, this is the moving story of the most misunderstood woman in American history... The truth about Mary Lincoln has for nearly a century been hidden under a mountain of myth. They said Lincoln really loved Ann Rutledge. That he had tried to avoid marriage to Mary Todd, that his wife hurt him politically though she drove him to the Presidency, that she embarrassed him financially as well as socially and inflicted on him the agony of adjustment to her psychopathic personality. Now for the first time, the true woman beneath the myth is presented. The veil of legend surrounding Mary Lincoln is torn aside and an entirely new picture of a woman and a marriage emerges. Here, through the eyes of the people who knew the Lincolns, through the long-lost telegrams and letters they sent each other, comes the story of their day-to-day life together. It begins in Springfield, and there, many years later, it ends. But the truth of those years gives evidence to restore Mary Todd Lincoln to her rightful place in history and in the affections of the American people. Acclaimed by the critics... “Never has such a story seemed better worth telling or better told.”—SATURDAY REVIEW “This is an important and definitive volume.”—AMERICAN HISTORY REVIEW “Out of the most searching scrutiny ever leveled on the Lincolns’ family affairs comes the picture of a tempestuous yet essentially happy marriage.”—NEW YORK HERALD TRIBUNE “This is a very moving book. It is also a nice example of what a first-rate historian can do with a difficult subject.”—THE NEW YORKER “It is a book that can be recommended without reservation: A combination of profound research and fine prose style, it meets both the requirements of the Lincoln scholar and the casual reader who is looking for a truly fascinating story.”—SAN FRANCISCO CHRONICLE",['History']
The Every-Day Life of Abraham Lincoln,['Francis Fisher Browne'],"Books for All Kinds of ReadersReadHowYouWant offers the widest selection of on-demand, accessible format editions on the market today. Our 7 different sizes of EasyRead are optimized by increasing the font size and spacing between the words and the letters. We partner with leading publishers around the globe. Our goal is to have accessible editions simultaneously released with publishers' new books so that all readers can have access to the books they want to read.",['Biography & Autobiography']
Thomas Attwood,['David Moss'],"In addition to his political activities, Attwood laid claim to competence as an economist, based on his experience in banking and his observation of industrial practices in Birmingham. He focused most of his attention on the gold standard and its inhibitory effect on the growth of the economy. Long before the development of modern schools of economic theory, Attwood sought the regulation of business through control of the money supply. He was unsuccessful in his challenge to the Ricardian school, which promised stability through a gold based economy, and died disillusioned. Birmingham became identified with his brand of economic theory and a succession of economists followed his lead into the national arena. Through his study of Attwood's career and the development of his philosophy, David Moss reveals the impact of industrialism on the individual and society.",['Biography & Autobiography']
A Biography of Dante Alighieri,['Denton Jaques Snider'],"This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages, poor pictures, errant marks, etc. that were either part of the original artifact, or were introduced by the scanning process. We believe this work is culturally important, and despite the imperfections, have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process, and hope you enjoy this valuable book.",['N/A']
Africa,['John Reader'],"In 1978, paleontologists in East Africa discovered the earliest evidence of our divergence from the apes: three pre-human footprints, striding away from a volcano, were preserved in the petrified surface of a mudpan over three million years ago. Out of Africa, the world's most ancient and stable landmass, Homo sapiens dispersed across the globe. And yet the continent that gave birth to human history has long been woefully misunderstood and mistreated by the rest of the world. In a book as splendid in its wealth of information as it is breathtaking in scope, British writer and photojournalist John Reader brings to light Africa's geology and evolution, the majestic array of its landforms and environments, the rich diversity of its peoples and their ways of life, the devastating legacies of slavery and colonialism as well as recent political troubles and triumphs. Written in simple, elegant prose and illustrated with Reader's own photographs, Africa: A Biography of the Continent is an unforgettable book that will delight the general reader and expert alike.",['History']
Bartolomé de las Casas,['Lawrence A. Clayton'],"The Dominican priest Bartolomé de las Casas (1485–1566) was a prominent chronicler of the early Spanish conquest of the Americas, a noted protector of the American Indians and arguably the most significant figure in the early Spanish Empire after Christopher Columbus. Following an epiphany in 1514, Las Casas fought the Spanish control of the Indies for the rest of his life, writing vividly about the brutality of the Spanish conquistadors. Once a settler and exploiter of the American Indians, he became their defender, breaking ground for the modern human rights movement. Las Casas brought his understanding of Christian scripture to the forefront in his defense of the Indians, challenging the premise that the Indians of the New World were any less civilized or capable of practising Christianity than Europeans. Bartolomé de las Casas: A Biography is the first major English-language and scholarly biography of Las Casas' life in a generation.",['History']
Truman Capote - Extended Biography,['Adrian Aguilar'],"The extended biography of Truman Capote, written by Adrián Aguilar, explores the complex life and work of this influential American author, best known for Breakfast at Tiffany's and In Cold Blood. This edition includes 8 never-before-seen photos signed by Truman Capote. The work is structured in several stages: Childhood and Youth: Capote had a difficult and lonely childhood in the southern United States, marked by family instability and a complicated relationship with his parents. His early friendship with Harper Lee (author of To Kill a Mockingbird) was a key influence on his life and literary career. Early Successes: At age 24, Capote published Other Voices, Other Rooms, a semi-autobiographical novel that addressed issues of identity and homosexuality, establishing him as a young literary talent. Famous Works and Fame: Breakfast at Tiffany's (1958) and In Cold Blood (1966) catapulted him to fame. The latter was a pioneer in the genre of the ""non-fiction novel"", combining reportage with literary narrative. Decline and Personal Problems: As his fame grew, Capote faced problems with addiction and deteriorating personal relationships, particularly after the controversial unfinished work Answered Prayers, which exposed the private lives of the New York elite. This biography offers a detailed analysis of his literary legacy and the cultural impact of his works on American literature.",['Biography & Autobiography']
Changed in a Moment,['Nannette Wilson McJunkins'],"The POWER OF LOVE, ""From the Well of Life,"" is a book written to forever change and challenge us to get it right. We were created out of love and we are God's expression of His love for us. ""From the Well of Life,"" simply means, it was written from life experiences. I hope that you can relate to some of the poetry that has been written. Because we are here on earth, love not hate should be the ruler of the day. The Bible tells us we are to God first, and then we are to love our neighbors as ourselves. If we learn to love God first, we can experience some of the treasures He has planned for us here on earth. However, if we allow hate to rule our lives, the consequences can be quite different. Remember, God has more in-store for us than we can ever imagine if we learn to put Him first. However, because God created us and instilled in us the gift of choice, we must choose to love to be in our lives. I hope this book inspires you to do just that.",['Biography & Autobiography']
Jennifer Lawrence Biography,['Rowan D Lakefield'],"Jennifer Lawrence Biography: The Life and Career of an American Celebrity By Rowan D. Lakefield Dive into the extraordinary life of Jennifer Lawrence, one of Hollywood's most celebrated actresses, in this captivating biography that explores her journey from a small-town girl in Kentucky to an international icon. Written with insight and warmth, Jennifer Lawrence Biography offers readers an intimate look at the woman behind the roles-the struggles, triumphs, and defining moments that have shaped her remarkable career and personal life. From her daring decision to drop out of school at fourteen to pursue acting, to her breakout role in Winter's Bone and global stardom as Katniss Everdeen in The Hunger Games, this book chronicles Lawrence's rise to fame with depth and authenticity. It delves into her critically acclaimed performances in films like Silver Linings Playbook, for which she became the youngest Best Actress Oscar winner in decades and her bold choices in challenging projects such as Mother! and Red Sparrow. Beyond the screen, discover the real Jennifer Lawrence-a fiercely independent woman who champions equal pay, advocates for mental health awareness, and uses humor and honesty to connect with fans worldwide. Learn about her loving marriage to Cooke Maroney, their commitment to protecting their children's privacy, and how she balances motherhood with her demanding career. Through anecdotes, quotes from celebrities, and behind-the-scenes insights, Jennifer Lawrence Biography paints a vivid portrait of a timeless figure in entertainment history. This is not just the story of an actress-it's the story of resilience, reinvention, and staying true to oneself in the face of immense pressure. Perfect for fans of all ages, this biography celebrates Jennifer Lawrence's enduring legacy as an artist, activist, and relatable human being. Whether you admire her for her talent, her courage, or her refreshing authenticity, this book captures the essence of a star who continues to inspire millions around the globe. ""Jennifer has this rare combination of vulnerability and strength. You can see all of her emotions right there on the surface, yet there's still this incredible depth underneath."" -Meryl Streep Order your copy today and step into the world of Jennifer Lawrence-a story as inspiring as it is unforgettable.",['Biography & Autobiography']
Henry James,['Fred Kaplan'],"Henry James was one of the most influential novelists in the English language. This biography looks at James's personal relationships, rich in friendships with the literary and artistic greats of the Victorian and early modern world, from Browning, Tennyson, Turgenev, Flaubert and Burne-Jones to Sargent, Wilde, Shaw, Kipling, Stevenson, Wells and Conrad. His own correspondence, as well as family letters, both published and unpublished, are at the heart of this biography.","['Authors, American']"
Jesus of Nazareth a Biography,['George A. Barton'],"Excerpt from Jesus of Nazareth a Biography The life of Jesus Christ is the most important event in the religious history of mankind. The significance of it is eternal. Nowhere else has God revealed his nature. How shall one approach the task of writing an account of it? Most of our knowledge of this wonderful life is derived from the four Gospels, but in many points the Gospels do not agree. They often differ as to the order of events and the occasions which called forth some of the sublimest teaching of the Master. They differ also as to the length of time covered by his ministry. Under these circumstances those who undertake this delicate and sacred task to-day fall into five groups according to their methods of treating the sources. 1. There are those who regard all the Gospels as equally valuable sources of information, and seek as best they can to harmonize their statements. These writers base their chronology of the Gospels, which was written about seventy years after the Crucifixion. This method produces the type of devotional biography of Jesus which has within the last century become conventional. 2. Another group of writers on the life of Jesus may be called the historical school. They seek to use the knowledge of the composition and dates of the Gospels which has been gained by modern study in accordance with the methods of modern historical research. About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",['Religion']
Rudy! An Investigative Biography Of Rudolph Giuliani,"['Wayne Barrett', 'Adam Fifield']",An investigative biography of Rudolph Giuliani.,['Biography & Autobiography']
